Year,Group,M1,M2,M3,M4
2006,A,Germany,Ecuador,Poland,Costa Rica
2006,B,England,Sweden,Paraguay,Trinidad Tobago
2006,C,Argentina,Netherlands,Ivory Coast,Serbia and Montenegro
2006,D,Portugal,Mexico,Angola,Iran
2006,E,Italy,Ghana,Czech Republic,USA
2006,F,Brazil,Australia,Croatia,Japan
2006,G,Switzerland,France,South Korea,Togo
2006,H,Spain,Ukraine,Tunisia,Saudi Arabia
2010,A,South Africa,Mexico,Uruguay,France
2010,B,Argentina,Nigeria,South Korea,Greece
2010,C,England,USA,Algeria,Slovenia
2010,D,Germany,Australia,Serbia,Ghana
2010,E,Netherlands,Denmark,Japan,Cameroon
2010,F,Italy,Paraguay,New Zealand,Slovakia
2010,G,Brazil,North Korea,Ivory Coast,Portugal
2010,H,Spain,Switzerland,Honduras,Chile
2014,A,Brazil,Croatia,Mexico,Cameroon
2014,B,Spain,Netherlands,Chile,Australia
2014,C,Colombia,Greece,Ivory Coast,Japan
2014,D,Uruguay,Costa Rica,England,Italy
2014,E,Switzerland,Ecuador,France,Honduras
2014,F,Argentina,Bosnia Herzegovina,Iran,Nigeria
2014,G,Germany,Portugal,Ghana,USA
2014,H,Belgium,Algeria,Russia,South Korea
2018,A,Russia,Saudi Arabia,Egypt,Uruguay
2018,B,Portugal,Spain,Morocco,Iran
2018,C,France,Australia,Peru,Denmark
2018,D,Argentina,Iceland,Croatia,Nigeria
2018,E,Brazil,Switzerland,Costa Rica,Serbia
2018,F,Germany,Mexico,Sweden,South Korea
2018,G,Belgium,Panama,Tunisia,England
2018,H,Poland,Senegal,Colombia,Japan
