,No,Group,Round,T1,T2,T3,T4
0,1,A,1,0,0,0,0
1,2,A,1,3,0,0,0
2,3,B,1,0,0,0,0
3,4,B,1,3,0,0,0
4,5,C,1,0,0,0,0
5,6,C,1,3,0,0,0
6,7,D,1,0,0,0,0
7,8,F,1,0,0,0,0
8,9,G,1,0,0,0,0
9,10,E,1,0,0,0,0
10,11,F,1,0,3,0,0
11,12,F,2,3,3,0,0
12,13,H,1,0,0,0,0
13,14,H,1,0,3,0,0
14,15,G,1,1,1,0,0
15,16,G,2,1,4,0,0
16,1,A,1,0,0,0,0
17,2,A,1,1,1,0,0
18,3,B,1,0,0,0,0
19,4,B,1,0,0,3,0
20,5,C,1,0,0,0,0
21,6,C,1,1,1,0,0
22,7,D,1,0,0,0,0
23,8,D,1,0,0,0,3
24,9,E,1,0,0,0,0
25,10,E,1,3,0,0,0
26,11,F,1,0,0,0,0
27,12,F,1,1,1,0,0
28,13,G,1,0,0,0,0
29,14,G,1,0,0,1,1
30,15,H,1,0,0,0,0
31,16,H,1,0,0,0,3
32,17,A,2,1,1,1,1
33,18,B,2,3,0,3,0
34,19,B,2,6,0,3,0
35,20,A,2,1,1,4,1
36,21,D,2,3,0,0,3
37,22,C,2,1,1,0,3
38,23,C,2,1,2,0,4
39,24,E,2,3,0,3,0
40,25,D,2,3,0,3,3
41,26,E,2,6,0,3,0
42,27,F,2,1,1,1,1
43,28,F,2,1,4,1,1
44,29,G,2,3,0,1,1
45,30,G,2,6,0,1,1
46,31,H,2,0,3,0,3
47,32,H,2,0,3,0,6
48,33,A,3,1,4,4,1
49,34,A,3,1,4,7,1
50,35,B,3,6,0,3,3
51,36,B,3,6,1,4,3
52,37,C,3,2,2,1,4
53,38,C,3,2,5,1,4
54,39,D,3,3,1,3,4
55,40,D,3,6,1,3,4
56,41,F,3,2,4,2,1
57,42,F,3,2,4,2,4
58,43,E,3,6,3,3,0
59,44,E,3,6,3,6,0
60,45,G,3,6,0,1,4
61,46,G,3,7,0,1,5
62,47,H,3,3,3,0,6
63,48,H,3,3,4,1,6
64,1,A,1,0,0,0,0
65,2,A,1,3,0,0,0
66,3,B,1,0,0,0,0
67,4,B,1,0,3,0,0
68,5,C,1,0,0,0,0
69,6,D,1,0,0,0,0
70,7,D,1,0,3,0,0
71,8,C,1,3,0,0,0
72,9,E,1,0,0,0,0
73,10,E,1,3,0,0,0
74,11,F,1,0,0,0,0
75,12,G,1,0,0,0,0
76,13,F,1,3,0,0,0
77,14,G,1,3,0,0,0
78,15,H,1,0,0,0,0
79,16,A,2,3,0,3,0
80,17,H,1,3,0,0,0
81,18,B,2,0,3,3,0
82,19,B,2,0,6,3,0
83,20,A,2,4,0,4,0
84,21,C,2,3,0,3,0
85,22,D,2,0,3,0,3
86,23,C,2,6,0,3,0
87,24,D,2,3,3,0,3
88,25,E,2,3,0,3,0
89,26,E,2,3,0,6,0
90,27,F,2,3,0,1,1
91,28,G,2,3,0,0,3
92,29,F,2,6,0,1,1
93,30,H,2,3,0,1,1
94,31,H,2,6,0,1,1
95,32,G,2,4,0,1,3
96,33,B,3,0,6,6,0
97,34,B,3,0,9,6,0
98,35,A,3,4,3,4,0
99,36,A,3,4,3,7,0
100,37,D,3,3,6,0,3
101,38,D,3,6,6,0,3
102,39,C,3,6,1,3,1
103,40,C,3,9,1,3,1
104,41,F,3,6,0,1,4
105,42,F,3,9,0,1,4
106,43,E,3,3,3,6,0
107,44,E,3,6,3,6,0
108,45,G,3,4,1,1,4
109,46,G,3,7,1,1,4
110,47,H,3,6,3,1,1
111,48,H,3,9,3,1,1
112,1,A,1,0,0,0,0
113,2,A,1,3,0,0,0
114,3,B,1,0,0,0,0
115,4,B,1,0,0,0,3
116,5,C,1,0,0,0,0
117,6,D,1,0,0,0,0
118,7,C,1,3,0,0,0
119,8,D,1,1,1,0,0
120,9,E,1,0,0,0,0
121,10,F,1,0,0,0,0
122,11,E,1,0,0,0,3
123,12,F,1,0,3,0,0
124,13,G,1,0,0,0,0
125,14,G,1,3,0,0,0
126,15,H,1,0,0,0,0
127,16,H,1,0,0,0,3
128,17,A,2,3,0,0,3
129,18,B,2,1,1,0,3
130,19,A,2,6,0,0,3
131,20,B,2,4,1,0,3
132,21,C,2,3,0,0,3
133,22,C,2,3,1,0,4
134,23,D,2,1,1,3,0
